Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;105;Israël;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3565;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;106;Italie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3477;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;109;Jamaïque;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2757;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;110;Japon;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2712;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;112;Jordanie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2739;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;108;Kazakhstan;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3094;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;114;Kenya;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2145;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;113;Kirghizistan;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2707;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;83;Kiribati;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3074;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;118;Koweït;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3444;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;122;Lesotho;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2475;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;119;Lettonie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3216;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;121;Liban;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2892;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;123;Libéria;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2157;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;126;Lituanie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3426;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;256;Luxembourg;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3468;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;154;Macédoine du Nord;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3009;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;129;Madagascar;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;1943;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;131;Malaisie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2874;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;130;Malawi;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2478;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;132;Maldives;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2268;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;133;Mali;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2879;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;134;Malte;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3438;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;143;Maroc;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3366;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;137;Maurice;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3038;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;136;Mauritanie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2854;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;138;Mexique;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3162;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;141;Mongolie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2480;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;273;Monténégro;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3495;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;144;Mozambique;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2074;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;28;Myanmar;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2703;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;147;Namibie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2465;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;149;Népal;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2793;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;157;Nicaragua;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2642;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;158;Niger;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2596;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;159;Nigéria;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2539;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;162;Norvège;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3377;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;153;Nouvelle-Calédonie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2858;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;156;Nouvelle-Zélande;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3162;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;221;Oman;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2936;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;226;Ouganda;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2022;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;235;Ouzbékistan;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2982;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;165;Pakistan;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2489;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;166;Panama;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2837;Fc;Donnée calculée
